IFNy-6,IFNy expanded immune 18,Efffector T cell,IFNy Effector T cell,Chemokine,MIAS_Immune_positive signature,Beta-catenin GeneSet,plasticity signature_up,plasticity signature_down,IPRES signature
IDO1,CD3D,GZMA,CD8A,CCL2,PTPN6,EFNB3,AKR1C3,ALX1,
CXCL10,IL2RG,GZMB,GZMA,CCL3,CD3E,APC2 ,BMP1,BRD7,
CXCL9,NKG7,PRF1,GZMB,CCL4,CD247,TCF1 ,CRTAC1,DTD1,
HLA-DRA,CIITA,IFNG,IFNG,CCL5,LCK,c-MYC ,ECEL1,GRSF1,
IFNG,HLA-E,EOMES,EOMES,CCL8,CD3D,TCF12 ,ERC2,HCN1,
STAT1,CD3E,CD8A,CXCL9,CCL18,CD3G,VEGFA,FAM110C,LTA4H,
,CCL5,,CXCL10,CCL19,PDCD1,,FUT9,OXCT1,
,LAG3,,TBX21,CCL21,HLA-DRA,,GABRA2,PATJ,
,TAGAP,,,CXCL9,HLA-DPB1,,GAP43,PLXNC1,
,GZMK,,,CXCL10,CD4,,GREM1,SSBP4,
,CD2,,,CXCL11,TBX21,,HECW1,TELO2,
,IDO1,,,CXCL13,HLA-DPA1,,KLHL1,TMEM177,
,CXCL10,,,,IRF8,,KRT12,,
,HLA-DRA,,,,HLA-DRB1,,LHFPL4,,
,STAT1,,,,HLA-DQA1,,NEFL,,
,CXCL13,,,,CD8A,,NEFM,,
,GZMB,,,,CIITA,,NETO1,,
,,,,,PDCD1LG2,,NKX2-2,,
,,,,,HLA-DQB1,,NSG2,,
,,,,,CD8B,,OCIAD2,,
,,,,,TYROBP,,OTOP1,,
,,,,,LILRB1,,PDE3B,,
,,,,,CTSS,,PTPRN2,,
,,,,,CD80,,PTPRT,,
,,,,,HLA-B,,SIGLEC15,,
,,,,,SOCS1,,SLC13A5,,
,,,,,HLA-DRB5,,SLC9A2,,
,,,,,LILRB2,,SLITRK6,,
,,,,,HLA-DQA2,,SNAP91,,
,,,,,CD274,,STON2,,
,,,,,CD74,,TAC1,,
,,,,,HLA-DQB2,,VAT1L,,
,,,,,HLA-C,,WNT5A,,
,,,,,HLA-E,,,,
,,,,,B2M,,,,
,,,,,KLRD1,,,,
,,,,,CXCR4,,,,
,,,,,FOXP3,,,,
,,,,,STAT1,,,,
,,,,,HLA-F,,,,
,,,,,TAP1,,,,
,,,,,UBD,,,,
,,,,,HLA-DMB,,,,
,,,,,KLRK1,,,,
,,,,,PTPRC,,,,
,,,,,IRF9,,,,
,,,,,ITK,,,,
,,,,,ZAP70,,,,
,,,,,LILRA1,,,,
,,,,,TAPBP,,,,
,,,,,CEBPA,,,,
,,,,,HLA-DOA,,,,
,,,,,HLA-DMA,,,,
,,,,,HLA-A,,,,
,,,,,PRKCQ,,,,
,,,,,TAP2,,,,
,,,,,RNF213,,,,
,,,,,HLA-DOB,,,,
,,,,,VAV1,,,,
,,,,,CSF1,,,,
,,,,,LCP2,,,,
,,,,,KIR2DL3,,,,
,,,,,HLA-H,,,,
,,,,,FYB,,,,
,,,,,FBXO6,,,,
,,,,,KIR3DL1,,,,
,,,,,IRF1,,,,
,,,,,SOD2,,,,
,,,,,HMOX1,,,,
,,,,,ATP1A3,,,,
,,,,,KIR2DS4,,,,
,,,,,BATF2,,,,
,,,,,LAT,,,,
,,,,,SLC38A1,,,,
,,,,,CD160,,,,
,,,,,SYK,,,,
,,,,,GATA3,,,,
,,,,,HLA-G,,,,
,,,,,VCAM1,,,,
,,,,,UBC,,,,
,,,,,GRAP2,,,,
,,,,,STAT2,,,,
,,,,,ERAP1,,,,
,,,,,LGMN,,,,
,,,,,KLRC4,,,,
,,,,,JAK3,,,,
,,,,,GRB2,,,,
,,,,,LYN,,,,
,,,,,MS4A1,,,,
,,,,,KIR2DL1,,,,
,,,,,CSK,,,,
,,,,,STAT4,,,,
,,,,,GLUL,,,,
,,,,,CARD11,,,,
,,,,,CD1B,,,,
,,,,,CD1D,,,,
,,,,,ARPC2,,,,
